soil_moisture_pct,crop_type_index,field_size_hectares,temperature_c,irrigation_hours
37.0,1,13.9,30.4,4.41
58.6,4,8.4,26.0,10.01
13.9,1,15.3,20.3,5.94
11.5,4,9.3,30.7,13.18
39.1,4,32.8,23.8,9.79
36.2,2,33.5,29.2,7.37
46.5,2,45.0,39.8,8.85
52.7,4,25.1,22.2,8.71
53.4,2,29.2,35.4,9.79
37.6,4,12.2,31.0,9.42
15.2,4,14.6,43.8,13.05
24.1,2,29.8,27.6,8.25
13.7,3,32.1,41.2,14.18
46.7,4,15.6,20.3,11.1
28.8,4,23.5,41.8,12.03
28.7,1,7.8,34.5,5.16
53.1,2,21.2,37.9,6.84
14.9,4,30.9,31.3,8.62
52.2,4,24.8,30.6,13.1
20.2,5,22.8,33.2,12.59
58.9,4,16.3,25.7,10.11
37.9,2,41.0,20.9,7.85
52.1,4,10.8,43.2,10.28
10.7,1,43.5,20.3,7.78
28.4,2,28.6,39.1,8.73
