soil_moisture_pct,crop_type_index,field_size_hectares,temperature_c,irrigation_hours
35.7,5,81.8,59.7,18.37
54.3,5,60.8,77.0,17.18
30.9,3,38.6,41.0,13.13
46.0,5,75.9,35.4,16.35
28.8,2,53.4,49.5,12.02
19.0,1,80.4,46.8,12.01
37.3,1,71.3,76.6,10.87
26.2,3,96.4,32.7,13.91
48.0,2,64.9,35.6,10.51
44.3,5,70.1,72.4,22.0
22.7,3,55.1,75.9,14.7
16.5,5,82.1,52.7,21.68
50.6,3,95.5,63.7,16.01
49.3,1,31.8,55.6,4.99
55.7,2,85.3,87.3,14.08
31.5,5,67.8,54.2,20.25
28.1,2,60.4,74.2,12.3
46.7,5,68.4,62.2,17.1
19.9,2,70.5,75.3,15.46
27.6,2,95.2,42.7,12.43
